PrimaryDI,publicDeviceRecordKey,publicVersionStatus,deviceRecordStatus,publicVersionNumber,publicVersionDate,devicePublishDate,deviceCommDistributionEndDate,deviceCommDistributionStatus,brandName,versionModelNumber,catalogNumber,dunsNumber,companyName,deviceCount,deviceDescription,DMExempt,premarketExempt,deviceHCTP,deviceKit,deviceCombinationProduct,singleUse,lotBatch,serialNumber,manufacturingDate,expirationDate,donationIdNumber,labeledContainsNRL,labeledNoNRL,MRISafetyStatus,rx,otc,deviceSterile,sterilizationPriorToUse
846468019976,9a284266-e8cc-40a5-a992-4deb3606a22e,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-FX-35,10-775-FX-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019969,20f019d5-2bd1-4d68-b652-5895455724f7,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-775-FX-30,10-775-FX-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019952,4b4c17ac-6906-4e76-9912-6818b40343e6,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-7080-VXL,10-7080-VXL,793384496,"Pioneer Surgical Technology, Inc.",1,"X-LINK™, VARIABLE",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019938,267c56d9-0ec3-4687-99c2-65909af06481,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PAT-50,10-675-PAT-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL, NON-FLUTED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019921,be75bb8c-b218-419c-9cb4-060d69a90bec,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PAT-45,10-675-PAT-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL, NON-FLUTED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019914,67ae01a2-6b5d-4b23-840c-46f594d82713,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PAT-40,10-675-PAT-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL, NON-FLUTED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019907,21ecf724-7c85-44c5-ae9f-8d1098757b9b,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PAT-35,10-675-PAT-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL, NON-FLUTED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019884,56a681a6-9391-4816-b290-35d7766c92f4,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-95,10-675-PA-95,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019877,2d5020e1-4e03-4b2e-9432-f082a67ee073,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-90,10-675-PA-90,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019860,c174bbdb-aaab-4b42-a9e3-c71a530f753b,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-85,10-675-PA-85,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019853,98cbb525-db1c-4c54-9597-30bb6dd9859d,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-80,10-675-PA-80,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019846,0dfb0d5c-1b0d-4b67-9a38-5ac9dd0dc607,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-75,10-675-PA-75,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019839,20e49d66-42d8-4908-8250-f6ddccaa404d,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-70,10-675-PA-70,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019822,dbb106c7-8c3f-4fc6-a49e-90286dfb2bff,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-65,10-675-PA-65,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019815,9e8aac13-89ab-4c08-b95b-050dfcdc05f7,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-60,10-675-PA-60,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019808,fe35673d-d9df-41a7-a15b-65e8d1aeaed9,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-55,10-675-PA-55,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019792,c104041a-34c5-473a-a22a-b7af493de3c2,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-50,10-675-PA-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019785,5957ac89-f415-4287-bfca-b17c9596e576,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-45,10-675-PA-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019778,7baf280b-882f-489c-a77a-62620fbab429,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-40,10-675-PA-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019761,0f5fcd18-cd51-4e9e-9a35-20eff436d599,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-35,10-675-PA-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019754,5f5391db-075a-4a05-a58c-cf55226ba8f4,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-30,10-675-PA-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019747,519bc21f-87e6-49d5-86c7-ad855f90c02d,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-25,10-675-PA-25,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019730,2d104453-b403-49e1-8a5e-fc2a3bd4425d,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-PA-100,10-675-PA-100,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019723,c0e9f23e-7616-47bf-b42a-f972e7f6f478,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-12-26,32-TRIAL-12-26,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019716,fdaeb58b-6007-4fd8-bf99-7425d04cb1ef,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-12-22,32-TRIAL-12-22,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019709,ac5b141b-9f38-463f-b550-bc58e83414e8,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-11-26,32-TRIAL-11-26,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019693,02d079ec-caed-4647-b0ec-69c035fb9fae,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-FX-50,10-675-FX-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019686,c96682b4-3a26-45a8-a727-1b57871e867a,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-FX-45,10-675-FX-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019679,80a267a2-512b-4a86-9494-abf11e63b1f1,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-FX-40,10-675-FX-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019662,b6d0ef5e-4a78-4576-839e-e84086010dfc,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-FX-35,10-675-FX-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019655,2b62c10d-3612-466b-b3fb-2e762ad518ed,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-675-FX-30,10-675-FX-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019624,548fa8c5-b792-408d-9344-d83fe1c3b3ff,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-6070-VXL,10-6070-VXL,793384496,"Pioneer Surgical Technology, Inc.",1,"X-LINK™, VARIABLE",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019617,caaaf1ce-41e2-4191-acdd-7e71bc4e624b,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-60,10-575-PA-60,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019600,4e1e1ca9-2c5b-4eca-b589-056431afd797,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-55,10-575-PA-55,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019594,8314ad7c-2178-44a1-9d27-c8a0e0446dd5,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-50,10-575-PA-50,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019587,50c3c0b5-874e-4ff6-a596-8ccc2ea93356,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-45,10-575-PA-45,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019570,1525bf3b-627a-45e1-98cd-b2b7d4359533,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-40,10-575-PA-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019563,de08791f-51f3-497b-a7f0-b8af96ead10b,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-35,10-575-PA-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019556,378c8166-ec8d-47be-80b0-9a5013ee05b9,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-PA-30,10-575-PA-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, POLYAXIAL",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019549,c403eb3f-491c-4a89-89b9-5cde3225b3ae,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-FX-40,10-575-FX-40,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019532,77a9a168-e417-474e-bbf5-ebf2b0cc8ee7,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-FX-35,10-575-FX-35,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019525,a9d448c3-21f7-4ff1-8eb3-c793af8b91d2,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-FX-30,10-575-FX-30,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019518,29f1ea4c-ccf6-49a1-bad2-a5f8f7abf088,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-575-FX-25,10-575-FX-25,793384496,"Pioneer Surgical Technology, Inc.",1,"PEDICLE SCREW, FIXED",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019501,948cc958-a4ce-4534-a178-5a9c8c90304e,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-90,10-55-RR-90,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019495,8bc689c8-9b52-44ba-906c-f2259180b155,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-80,10-55-RR-80,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019488,708bf423-6891-4496-ba90-615a4f8155b1,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-70,10-55-RR-70,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019471,2ee9aeb2-d1e0-4bf4-8b8f-6a64944a58a2,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-11-22,32-TRIAL-11-22,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019464,e0bb6fe8-a668-4981-9d6a-d2252fb90512,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-60,10-55-RR-60,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019457,b66acc20-b393-4f95-bc0c-c6ed01d196bf,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-10-26,32-TRIAL-10-26,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019440,7373b320-ad79-42c7-9e09-953a0cad7329,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-50,10-55-RR-50,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019433,1dd42f36-2a5e-4e9f-88bc-9385f8800cb3,Update,Published,2,2021-10-14,2019-12-21,,In Commercial Distribution,BULLET-TIP PEEK IBF SYSTEM,32-TRIAL-10-22,32-TRIAL-10-22,793384496,"Pioneer Surgical Technology, Inc.",1,TRIAL SPACER,,true,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019426,e9da0eb6-4978-4531-a3e9-bcffedc82f14,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-40,10-55-RR-40,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019419,3b0233f8-987c-43da-9d4d-cd21abf3bb70,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-35,10-55-RR-35,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019402,10c84ce1-4313-4ba9-9207-f6bc1ae469f1,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-110,10-55-RR-110,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019396,5d85d987-7806-47bd-9902-0f23a63364f5,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RR-100,10-55-RR-100,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, STRAIGHT",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019389,fa77c18f-d767-4870-ada2-f41d165e2c00,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RHC-600,10-55-RHC-600,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019372,5008e628-a95b-42dd-8e76-0c6487a0e72a,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RHC-400,10-55-RHC-400,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019365,b4ff3f9f-3f39-460b-bc96-80665a679950,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RHC-200,10-55-RHC-200,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019358,e4e11eef-a540-4440-8d8d-b56384650e52,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RH-400,10-55-RH-400,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019341,96c91b2f-2899-4bec-bd64-4852d748305a,Update,Published,4,2021-10-14,2015-11-06,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RH-200,10-55-RH-200,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
846468019334,8c3280bf-3ada-4e57-83bd-39cd6a2749be,Update,Published,4,2021-10-14,2015-11-23,,In Commercial Distribution,QUANTUM™* SPINAL FIXATION SYSTEM,10-55-RH-150,10-55-RH-150,793384496,"Pioneer Surgical Technology, Inc.",1,"ROD, HEX END",,,,,,true,true,,,,,,,Labeling does not contain MRI Safety Information,true,,,true
